num,KOHEZIJSKA / STATISTIČNA REGIJA,SPOL,LETO,MERITVE
22547,Pomurska,Moški,2018,2 Delovno aktivno prebivalstvo po prebivališču - SKUPAJ
22808,Pomurska,Moški,2019,2 Delovno aktivno prebivalstvo po prebivališču - SKUPAJ
22797,Pomurska,Moški,2020,2 Delovno aktivno prebivalstvo po prebivališču - SKUPAJ
"""..""",Pomurska,Ženske,2005,2 Delovno aktivno prebivalstvo po prebivališču - SKUPAJ
"""..""",Pomurska,Ženske,2006,2 Delovno aktivno prebivalstvo po prebivališču - SKUPAJ
"""..""",Pomurska,Ženske,2007,2 Delovno aktivno prebivalstvo po prebivališču - SKUPAJ
"""..""",Pomurska,Ženske,2008,2 Delovno aktivno prebivalstvo po prebivališču - SKUPAJ
"""..""",Pomurska,Ženske,2009,2 Delovno aktivno prebivalstvo po prebivališču - SKUPAJ
18437,Pomurska,Ženske,2010,2 Delovno aktivno prebivalstvo po prebivališču - SKUPAJ
18905,Pomurska,Ženske,2011,2 Delovno aktivno prebivalstvo po prebivališču - SKUPAJ
18467,Pomurska,Ženske,2012,2 Delovno aktivno prebivalstvo po prebivališču - SKUPAJ
18118,Pomurska,Ženske,2013,2 Delovno aktivno prebivalstvo po prebivališču - SKUPAJ
17436,Pomurska,Ženske,2014,2 Delovno aktivno prebivalstvo po prebivališču - SKUPAJ
17307,Pomurska,Ženske,2015,2 Delovno aktivno prebivalstvo po prebivališču - SKUPAJ
17855,Pomurska,Ženske,2016,2 Delovno aktivno prebivalstvo po prebivališču - SKUPAJ
18198,Pomurska,Ženske,2017,2 Delovno aktivno prebivalstvo po prebivališču - SKUPAJ
18921,Pomurska,Ženske,2018,2 Delovno aktivno prebivalstvo po prebivališču - SKUPAJ
19087,Pomurska,Ženske,2019,2 Delovno aktivno prebivalstvo po prebivališču - SKUPAJ
19249,Pomurska,Ženske,2020,2 Delovno aktivno prebivalstvo po prebivališču - SKUPAJ
121806,Podravska,Spol - SKUPAJ,2005,2 Delovno aktivno prebivalstvo po prebivališču - SKUPAJ
124028,Podravska,Spol - SKUPAJ,2006,2 Delovno aktivno prebivalstvo po prebivališču - SKUPAJ
129569,Podravska,Spol - SKUPAJ,2007,2 Delovno aktivno prebivalstvo po prebivališču - SKUPAJ
134087,Podravska,Spol - SKUPAJ,2008,2 Delovno aktivno prebivalstvo po prebivališču - SKUPAJ
129297,Podravska,Spol - SKUPAJ,2009,2 Delovno aktivno prebivalstvo po prebivališču - SKUPAJ
124895,Podravska,Spol - SKUPAJ,2010,2 Delovno aktivno prebivalstvo po prebivališču - SKUPAJ
122915,Podravska,Spol - SKUPAJ,2011,2 Delovno aktivno prebivalstvo po prebivališču - SKUPAJ
120135,Podravska,Spol - SKUPAJ,2012,2 Delovno aktivno prebivalstvo po prebivališču - SKUPAJ
117887,Podravska,Spol - SKUPAJ,2013,2 Delovno aktivno prebivalstvo po prebivališču - SKUPAJ
119013,Podravska,Spol - SKUPAJ,2014,2 Delovno aktivno prebivalstvo po prebivališču - SKUPAJ
119587,Podravska,Spol - SKUPAJ,2015,2 Delovno aktivno prebivalstvo po prebivališču - SKUPAJ
120013,Podravska,Spol - SKUPAJ,2016,2 Delovno aktivno prebivalstvo po prebivališču - SKUPAJ
123115,Podravska,Spol - SKUPAJ,2017,2 Delovno aktivno prebivalstvo po prebivališču - SKUPAJ
126593,Podravska,Spol - SKUPAJ,2018,2 Delovno aktivno prebivalstvo po prebivališču - SKUPAJ
129981,Podravska,Spol - SKUPAJ,2019,2 Delovno aktivno prebivalstvo po prebivališču - SKUPAJ
128923,Podravska,Spol - SKUPAJ,2020,2 Delovno aktivno prebivalstvo po prebivališču - SKUPAJ
"""..""",Podravska,Moški,2005,2 Delovno aktivno prebivalstvo po prebivališču - SKUPAJ
"""..""",Podravska,Moški,2006,2 Delovno aktivno prebivalstvo po prebivališču - SKUPAJ
"""..""",Podravska,Moški,2007,2 Delovno aktivno prebivalstvo po prebivališču - SKUPAJ
"""..""",Podravska,Moški,2008,2 Delovno aktivno prebivalstvo po prebivališču - SKUPAJ
"""..""",Podravska,Moški,2009,2 Delovno aktivno prebivalstvo po prebivališču - SKUPAJ
70517,Podravska,Moški,2010,2 Delovno aktivno prebivalstvo po prebivališču - SKUPAJ
68491,Podravska,Moški,2011,2 Delovno aktivno prebivalstvo po prebivališču - SKUPAJ
66451,Podravska,Moški,2012,2 Delovno aktivno prebivalstvo po prebivališču - SKUPAJ
64892,Podravska,Moški,2013,2 Delovno aktivno prebivalstvo po prebivališču - SKUPAJ
66278,Podravska,Moški,2014,2 Delovno aktivno prebivalstvo po prebivališču - SKUPAJ
66564,Podravska,Moški,2015,2 Delovno aktivno prebivalstvo po prebivališču - SKUPAJ
66003,Podravska,Moški,2016,2 Delovno aktivno prebivalstvo po prebivališču - SKUPAJ
67736,Podravska,Moški,2017,2 Delovno aktivno prebivalstvo po prebivališču - SKUPAJ
69236,Podravska,Moški,2018,2 Delovno aktivno prebivalstvo po prebivališču - SKUPAJ
71550,Podravska,Moški,2019,2 Delovno aktivno prebivalstvo po prebivališču - SKUPAJ
70655,Podravska,Moški,2020,2 Delovno aktivno prebivalstvo po prebivališču - SKUPAJ
"""..""",Podravska,Ženske,2005,2 Delovno aktivno prebivalstvo po prebivališču - SKUPAJ
"""..""",Podravska,Ženske,2006,2 Delovno aktivno prebivalstvo po prebivališču - SKUPAJ
"""..""",Podravska,Ženske,2007,2 Delovno aktivno prebivalstvo po prebivališču - SKUPAJ
"""..""",Podravska,Ženske,2008,2 Delovno aktivno prebivalstvo po prebivališču - SKUPAJ
"""..""",Podravska,Ženske,2009,2 Delovno aktivno prebivalstvo po prebivališču - SKUPAJ
54378,Podravska,Ženske,2010,2 Delovno aktivno prebivalstvo po prebivališču - SKUPAJ
54423,Podravska,Ženske,2011,2 Delovno aktivno prebivalstvo po prebivališču - SKUPAJ
53684,Podravska,Ženske,2012,2 Delovno aktivno prebivalstvo po prebivališču - SKUPAJ
52995,Podravska,Ženske,2013,2 Delovno aktivno prebivalstvo po prebivališču - SKUPAJ
52735,Podravska,Ženske,2014,2 Delovno aktivno prebivalstvo po prebivališču - SKUPAJ
53023,Podravska,Ženske,2015,2 Delovno aktivno prebivalstvo po prebivališču - SKUPAJ
54010,Podravska,Ženske,2016,2 Delovno aktivno prebivalstvo po prebivališču - SKUPAJ
55380,Podravska,Ženske,2017,2 Delovno aktivno prebivalstvo po prebivališču - SKUPAJ
57358,Podravska,Ženske,2018,2 Delovno aktivno prebivalstvo po prebivališču - SKUPAJ
58432,Podravska,Ženske,2019,2 Delovno aktivno prebivalstvo po prebivališču - SKUPAJ
58268,Podravska,Ženske,2020,2 Delovno aktivno prebivalstvo po prebivališču - SKUPAJ
29581,Koroška,Spol - SKUPAJ,2005,2 Delovno aktivno prebivalstvo po prebivališču - SKUPAJ
